1522539483.9, 10825, 301, 298, 299
1522539483.9, 10874, 299, 299, 298
1522539483.91, 10832, 299, 299, 298
1522539483.92, 10852, 300, 300, 298
1522539483.92, 10834, 300, 300, 298
1522539483.92, 10806, 300, 300, 298
1522539483.93, 10848, 300, 299, 298
1522539483.93, 10779, 300, 300, 298
1522539483.94, 10865, 299, 299, 298
1522539483.95, 10818, 301, 301, 298
1522539483.95, 10859, 301, 299, 298
1522539483.95, 10826, 300, 299, 297
1522539483.96, 10833, 300, 301, 297
1522539483.97, 10825, 300, 300, 299
1522539483.97, 10807, 299, 299, 297
1522539483.97, 10827, 300, 299, 298
1522539483.98, 10799, 299, 301, 299
1522539483.99, 10837, 300, 300, 297
1522539483.99, 10806, 299, 299, 298
